n,k,policy,success_rate,mean_expansions_all,mean_expansions_success,mean_expansions_failure,mean_seconds
5,10,moe_top3,0.9,16.4,15.444444444444445,25.0,0.005044509994331747
5,10,moe_all,0.9,20.1,19.555555555555557,25.0,0.0070704200072214006
5,11,expert_wide_small,0.8,19.2,17.75,25.0,0.0005021700053475797
5,11,expert_wide_large,0.7,19.8,17.571428571428573,25.0,0.0007619199925102294
5,11,expert_tall_small,0.9,17.5,16.666666666666668,25.0,0.00047478999476879835
5,11,expert_tall_large,0.7,21.3,19.714285714285715,25.0,0.0005982000031508506
5,11,expert_balanced_small,0.4,22.6,19.0,25.0,0.000616449979133904
5,11,expert_balanced_large,1.0,16.1,16.1,,0.0004707600106485188
5,11,moe_sparse_top1,1.0,16.0,16.0,,0.004026989999692887
5,11,moe_top2,0.7,19.7,17.428571428571427,25.0,0.005527660006191581
5,11,moe_top3,0.7,20.2,18.142857142857142,25.0,0.0062784899957478045
5,11,moe_all,0.8,20.1,18.875,25.0,0.007077580003533512
5,12,expert_wide_small,0.7,20.0,17.857142857142858,25.0,0.0005096999811939895
5,12,expert_wide_large,0.6,21.0,18.333333333333332,25.0,0.0005562199978157878
5,12,expert_tall_small,0.8,18.5,16.875,25.0,0.0004942199913784862
5,12,expert_tall_large,0.4,23.6,21.5,25.0,0.0006486500147730112
5,12,expert_balanced_small,0.4,22.5,18.75,25.0,0.0010337199899367988
5,12,expert_balanced_large,1.0,19.0,19.0,,0.0008837399887852371
5,12,moe_sparse_top1,0.9,19.2,18.555555555555557,25.0,0.006811719969846308
5,12,moe_top2,0.9,19.4,18.77777777777778,25.0,0.005956579989288002
5,12,moe_top3,0.9,18.4,17.666666666666668,25.0,0.005682690010871738
5,12,moe_all,0.7,20.4,18.428571428571427,25.0,0.007754100009333342
5,13,expert_wide_small,0.9,18.7,18.0,25.0,0.0004828600212931633
5,13,expert_wide_large,0.8,19.6,18.25,25.0,0.0005090199992991984
5,13,expert_tall_small,0.9,19.8,19.22222222222222,25.0,0.000537100003566593
5,13,expert_tall_large,0.4,22.7,19.25,25.0,0.0006191599997691811
5,13,expert_balanced_small,0.5,21.4,17.8,25.0,0.0005695699830539525
5,13,expert_balanced_large,0.8,21.0,20.0,25.0,0.0005765199777670205
5,13,moe_sparse_top1,0.7,21.4,19.857142857142858,25.0,0.00567389999050647
5,13,moe_top2,0.8,17.7,15.875,25.0,0.004903719981666654
5,13,moe_top3,0.8,19.8,18.5,25.0,0.006026079994626343
5,13,moe_all,0.6,20.8,18.0,25.0,0.007245559990406036
5,14,expert_wide_small,0.7,22.0,20.714285714285715,25.0,0.0005571400048211217
5,14,expert_wide_large,0.4,23.5,21.25,25.0,0.0006677200086414814
5,14,expert_tall_small,0.7,20.2,18.142857142857142,25.0,0.0005508100031875074
5,14,expert_tall_large,0.6,21.1,18.5,25.0,0.000583940022625029
5,14,expert_balanced_small,0.1,24.9,24.0,25.0,0.000678750011138618
5,14,expert_balanced_large,0.8,21.8,21.0,25.0,0.0005767600028775633
5,14,moe_sparse_top1,0.8,22.2,21.5,25.0,0.005508540000300854
5,14,moe_top2,0.8,22.0,21.25,25.0,0.005911099992226809
